"Day","Confluence Park IR"
"2022-02-24",""
"2022-02-25","6"
"2022-02-26","26"
"2022-02-27","9"
"2022-02-28","28"
"2022-03-01","9"
"2022-03-02","38"
"2022-03-03","29"
"2022-03-04","30"
"2022-03-05","41"
"2022-03-06","190"
"2022-03-07","17"
"2022-03-08","18"
"2022-03-09","9"
"2022-03-10","85"
"2022-03-11","19"
"2022-03-12","2"
"2022-03-13","5"
"2022-03-14","50"
"2022-03-15","37"
"2022-03-16","128"
"2022-03-17","317"
"2022-03-18","205"
"2022-03-19","4"
"2022-03-20","3"
"2022-03-21","14"
"2022-03-22","10"
"2022-03-23","31"
"2022-03-24","8"
"2022-03-25","14"
"2022-03-26","3"
"2022-03-27","5"
"2022-03-28","8"
"2022-03-29","5"
"2022-03-30","21"
"2022-03-31","5"
"2022-04-01","0"
"2022-04-02","28"
"2022-04-03","3"
"2022-04-04","57"
"2022-04-05","146"
"2022-04-06","198"
"2022-04-07","2"
"2022-04-08","9"
"2022-04-09","2"
"2022-04-10","1"
"2022-04-11","56"
"2022-04-12","9"
"2022-04-13","10"
"2022-04-14","1"
"2022-04-15","28"
"2022-04-16","2"
"2022-04-17","6"
"2022-04-18",""
